,index,barcode_date,amount,quantity,quarter,year,quarter_year,amount_last_quarter,amount_growth_qtq,amount_last_4_quarter,amount_growth_lyq,quantity_last_quarter,quantity_growth_qtq,quantity_last_4_quarter,quantity_growth_lyq,amount_growth_percent_qtq,amount_growth_percent_lyq,quantity_growth_percent_qtq,quantity_growth_percent_lyq
0,10,2020-09-30,3166161337.5,18014.0,q3,2020,q3-2020,2846666812.5,319494525.0,2553262250.0,612899087.5,16069.0,1945.0,13801.0,4213.0,11.223460490601411,24.004548984343455,12.104051278859917,30.52677342221579
1,11,2020-12-31,3102382500.0,17465.0,q4,2020,q4-2020,3166161337.5,-63778837.5,2311181250.0,791201250.0,18014.0,-549.0,12266.0,5199.0,-2.0143900042175256,34.2336305298427,-3.0476296214055787,42.38545573128973
2,12,2021-03-31,3354011500.0,19144.0,q1,2021,q1-2021,3102382500.0,251629000.0,2059550500.0,1294461000.0,17465.0,1679.0,11535.0,7609.0,8.110830950084335,62.85162709047436,9.613512739765252,65.9644560034677
3,13,2021-06-30,3783885350.0,21199.5,q2,2021,q2-2021,3354011500.0,429873850.0,2846666812.5,937218537.5,19144.0,2055.5,16069.0,5130.5,12.816707694651619,32.923366141221,10.737045549519442,31.927935776961846
4,14,2021-09-30,4774743225.0,27108.0,q3,2021,q3-2021,3783885350.0,990857875.0,3166161337.5,1608581887.5,21199.5,5908.5,18014.0,9094.0,26.186255220444245,50.80543017337631,27.87094035236679,50.48295769956701
5,15,2021-12-31,4503874725.0,26525.5,q4,2021,q4-2021,4774743225.0,-270868500.0,3102382500.0,1401492225.0,27108.0,-582.5,17465.0,9060.5,-5.672943805266096,45.174707664190336,-2.1488121587723175,51.878041797881465
6,16,2022-03-31,5032937700.0,28041.5,q1,2022,q1-2022,4503874725.0,529062975.0,3354011500.0,1678926200.0,26525.5,1516.0,19144.0,8897.5,11.746840383088152,50.0572583009927,5.715255131854247,46.47670288340995
7,17,2022-06-30,4326935795.0,22936.5,q2,2022,q2-2022,5032937700.0,-706001905.0,3783885350.0,543050445.0,28041.5,-5105.0,21199.5,1737.0,-14.027630522825662,14.351662240506302,-18.20516020897598,8.19358947144979
8,18,2022-09-30,4853489243.75,25119.5,q3,2022,q3-2022,4326935795.0,526553448.75,4774743225.0,78746018.75,22936.5,2183.0,27108.0,-1988.5,12.169199491207138,1.6492199693104892,9.517581147951958,-7.335472923122321
9,19,2022-12-31,5556690776.0,29017.0,q4,2022,q4-2022,4853489243.75,703201532.25,4503874725.0,1052816051.0,25119.5,3897.5,26525.5,2491.5,14.488577123263147,23.375784525179032,15.515834311988685,9.39284839117076
10,20,2023-03-31,5837114766.0,31389.5,q1,2023,q1-2023,5556690776.0,280423990.0,5032937700.0,804177066.0,29017.0,2372.5,28041.5,3348.0,5.046600599248463,15.978283736752786,8.176241513595484,11.9394468912148
11,21,2023-06-30,6385320975.25,34516.0,q2,2023,q2-2023,5837114766.0,548206209.25,4326935795.0,2058385180.25,31389.5,3126.5,22936.5,11579.5,9.391732580678202,47.57142878405016,9.960337055384771,50.485034769908225
12,22,2023-09-30,9321256635.25,49903.5,q3,2023,q3-2023,6385320975.25,2935935660.0,4853489243.75,4467767391.5,34516.0,15387.5,25119.5,24784.0,45.97945305145841,92.05268966554922,44.58077413373509,98.66438424331693
