,index,month_year,number_sales_id,number_last_id_repeat,rpr
0,43,2021-09,293,191,65.18771331058021
1,44,2021-10,301,200,66.44518272425249
2,45,2021-11,268,180,67.16417910447761
3,46,2021-12,320,190,59.375
4,47,2022-01,355,225,63.38028169014085
5,48,2022-02,264,172,65.15151515151516
6,49,2022-03,296,165,55.74324324324324
7,50,2022-04,290,171,58.96551724137931
8,51,2022-05,273,172,63.00366300366301
9,52,2022-06,277,174,62.81588447653429
10,53,2022-07,286,170,59.44055944055944
11,54,2022-08,295,179,60.67796610169491
12,55,2022-09,299,180,60.20066889632107
13,56,2022-10,284,201,70.77464788732394
14,57,2022-11,310,194,62.58064516129032
15,58,2022-12,312,196,62.82051282051282
16,59,2023-01,331,206,62.235649546827794
17,60,2023-02,272,185,68.01470588235294
18,61,2023-03,283,182,64.31095406360424
19,62,2023-04,307,198,64.49511400651465
20,63,2023-05,246,179,72.76422764227642
21,64,2023-06,287,177,61.67247386759582
22,65,2023-07,274,195,71.16788321167883
23,66,2023-08,275,186,67.63636363636364
24,67,2023-09,287,177,61.67247386759582
