cohort_month,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
2022-01,354.0,171.0,201.0,181.0,170.0,173.0,164.0,163.0,160.0,159.0,158.0,163.0,155.0,135.0,149.0,144.0,125.0,137.0,136.0,132.0,131.0
2022-02,92.0,33.0,38.0,32.0,32.0,32.0,26.0,32.0,23.0,29.0,26.0,29.0,24.0,26.0,26.0,19.0,24.0,19.0,24.0,20.0,
2022-03,61.0,13.0,18.0,15.0,16.0,13.0,11.0,13.0,10.0,11.0,12.0,5.0,11.0,14.0,11.0,10.0,13.0,11.0,7.0,,
2022-04,57.0,21.0,16.0,24.0,22.0,17.0,15.0,15.0,15.0,12.0,15.0,11.0,17.0,9.0,14.0,16.0,15.0,10.0,,,
2022-05,31.0,9.0,9.0,8.0,10.0,6.0,9.0,5.0,6.0,7.0,6.0,2.0,5.0,5.0,3.0,4.0,7.0,,,,
2022-06,31.0,9.0,14.0,7.0,8.0,7.0,7.0,5.0,4.0,4.0,4.0,7.0,4.0,5.0,4.0,6.0,,,,,
2022-07,31.0,13.0,12.0,7.0,9.0,8.0,9.0,8.0,7.0,5.0,8.0,5.0,6.0,4.0,6.0,,,,,,
2022-08,35.0,16.0,14.0,10.0,13.0,11.0,12.0,9.0,13.0,11.0,10.0,7.0,10.0,12.0,,,,,,,
2022-09,33.0,17.0,22.0,18.0,17.0,15.0,13.0,15.0,12.0,21.0,11.0,14.0,11.0,,,,,,,,
2022-10,21.0,10.0,11.0,9.0,7.0,9.0,9.0,8.0,7.0,11.0,9.0,6.0,,,,,,,,,
2022-11,30.0,5.0,10.0,5.0,5.0,6.0,3.0,4.0,3.0,2.0,2.0,,,,,,,,,,
2022-12,29.0,18.0,11.0,15.0,13.0,9.0,12.0,9.0,8.0,9.0,,,,,,,,,,,
2023-01,37.0,14.0,10.0,15.0,9.0,14.0,10.0,9.0,11.0,,,,,,,,,,,,
2023-02,9.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,
2023-03,6.0,3.0,1.0,2.0,3.0,1.0,2.0,,,,,,,,,,,,,,
2023-04,17.0,4.0,6.0,8.0,4.0,6.0,,,,,,,,,,,,,,,
2023-05,3.0,,1.0,1.0,2.0,,,,,,,,,,,,,,,,
2023-06,10.0,5.0,5.0,2.0,,,,,,,,,,,,,,,,,
2023-07,6.0,1.0,2.0,,,,,,,,,,,,,,,,,,
2023-08,14.0,2.0,,,,,,,,,,,,,,,,,,,
2023-09,30.0,,,,,,,,,,,,,,,,,,,,
